序号,视频标识,源文案路径,标题主题,选题痛点,钩子类别,前3秒功能,前8秒路径,开头表层类型,开头功能,主情绪按钮,共鸣触发点,语言锋利来源,答案缺口或收益,正文首次兑现,转译句式骨架,前30秒承接,核心主张,论证链,情绪路线,语言节奏,段落呼吸,转折与连接方式,排比功能与数量,结尾功能,行动CTA,可迁移能力,证据定位,素材记录ID,素材类型摘要,表层素材调用提示
1,01_一个人心智成熟,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/范不慌/02_转写文本/01_最终完整文案/01_一个人『心智成熟』的.md,心智成熟的阶段地图,经历打击后不知自己为何卡住,痛苦命名加阶段承诺,先把常见挫折集中命名,损失处境到成长可能再到阶段预告,沉重经历陈述,把痛苦从单纯不幸改写为成长信号,受伤到被理解,家庭关系受挫和现实拮据,具体代价和正反命运分叉,能知道自己正在经历什么并如何升级,第2段开始给出阶段总图,当{困境}反复出现时未必只说明你差劲也可能提示{心智任务},阶段数量预告后连续提出观众常有的困惑,心智升级靠从防御转向反馈与接纳,困境触发防御→受挫→反思→信念与试错→价值与接纳,刺痛→被解释→看到路径→安定,长解释夹短问和生活比喻,每阶段一到三段并留出理解空隙,用所以说和那这个时候把机制推到下一阶段,阶段并列8组且每组承担不同成长任务,以成熟后的柔软和关系舒适感收束,观察自己最近一次冲突更像防御还是复盘,把复杂成长拆成可识别阶段并以生活场景解释,P1-P73：痛苦命名→八阶段→成熟回收,fanbuhuang.material.01_一个人-心智成熟-的,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
2,02_人生陷入迷茫怎么办,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/范不慌/02_转写文本/01_最终完整文案/02_人生陷入迷茫怎么办？.md,迷茫与路线选择,选项太多而无法行动,反常识定义加方法承诺,重命名迷茫的来源,现象反转到原因再到五步路线,判断句,让观众把迷茫理解为优先级缺失,焦虑到掌控,多条路都不完美且现实目标冲突,反直觉归因和具体过河场景,获得一条从现实目标走向行动的路径,第1段提出五步方法,你以为{困境}来自{常见原因}其实先要处理{优先级缺失},两类迷茫情境后给出方法目录,路线先由当下约束确定再用信息与行动校正,目标澄清→优势筛选→精准搜集→实践反馈→留白孵化,混乱→清晰→行动感→松弛,连续设问配合较长因果说明,每一步两到四段且先解释再举例,以就比如和所以说来做抽象到场景的桥接,五点并列用于形成完整路线图,把迷茫改写为允许酝酿的阶段,写下当前必须解决的一个现实问题,用优先级压缩选择空间再给低门槛试错,P1-P44：反常识开场→五步路线→允许留白,fanbuhuang.material.02_人生陷入迷茫怎么办,concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
3,03_八个找到你天赋的方法,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/范不慌/02_转写文本/01_最终完整文案/03_八个找到你天赋的方法.md,天赋识别,努力却没有结果而怀疑自己,处境共情加生态位比喻,先为无效努力去污名,努力无效到适配问题再到八个信号,问题陈述,把摆烂从懒惰改写为适配错位,绝望到希望,努力不被回报的挫败,动物生态差异和具体自测信号,得到一组识别优势的观察框架,第1段给出八项方法预告,如果{努力}一直无效先别急着否定自己先检查{适配关系},共情处境后用生态位解释并列出八个信号,天赋是持续优势加长期愿意投入而非单点羡慕,情绪信号→偶像投射→高光回忆→他评→内在安定→学习速度→心流→无回报投入,委屈→被理解→自我发现→笃定,口语化问答和个人小场景交替,每个信号两到三段并以一句结论收口,通过再一个和那如果说补充检验条件,八项并列兼具识别和排除功能,以长期耕耘等到需求出现收束,为一项候选能力补一条真实行为证据,将天赋从标签改成多来源可验证信号,P1-P56：努力困境→八信号→长期耕耘,fanbuhuang.material.03_八个找到你天赋的方法,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
4,04_如何克服内心的空虚感,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/范不慌/02_转写文本/01_最终完整文案/04_如何克服内心的空虚感.md,空虚感与自洽,成年后失去方向并自责,情绪重命名加四法承诺,先解释空虚并非退步,空虚原因到成长意义再到四项方法,判断句,把空虚定位为自我负责的入口,空虚到被理解,未来框架消失和生活缺少作品,成长性反转与成人选择场景,获得重新建立意义和节奏的动作,第2段开始说明四项方法,当{空虚}出现时不必急着填满它先问{什么意义正在缺席},成年选择场景后预告愿力与创造路径,充实来自被自己认同的方向和持续创造,空虚来源→愿景意义→晨间主动性→作品与社会位置,空洞→被命名→力量→充实,长篇解释中穿插短问和直接定义,每方法两到四段并用一个日常画面落地,用那这个时候把心理解释转为做法,四项并列形成意义到行动的递进,用创造与共鸣给出温和结束,安排一次不被工作打断的自我盘点,情绪问题先去污名再以使命和作品感落地,P1-P38：空虚重命名→四项方法→创造收束,fanbuhuang.material.04_如何克服内心的空虚感,cases_people、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
5,05_如何科学地找到自己的,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/范不慌/02_转写文本/01_最终完整文案/05_如何科学的找到自己的.md,多元能力与职业适配,被单一成绩标准压低自我评价,数据背书加分类承诺,先挑战单一能力标准,比例判断到八类能力解释,统计判断,把不擅长改写为能力组合尚未被识别,自卑到被看见,学校评价和职业选择受限,分类框架和每类可观察行为,获得能力组合和适配方向,第1段介绍八类框架,别用{单一标准}给自己下结论先看{能力组合}在哪些场景显现,比例说明后依次转译八类能力,个人优势应长板突出短板过线而不是样样平均,能力差异→日常识别→可能场景→组合建议,被否定→新奇→自我识别→可能性,解释句较长并大量使用假设场景,每类能力多段展开且有测试动作,用什么叫和举个例子切换术语与生活,八类并列用于建立完整能力地图,把时代机会落到展示与组合能力,列出自己最常出现的一项行为优势,用能力分类帮助观众把特质翻译成场景选择,P1-P71：单一标准反转→八类能力→组合应用,fanbuhuang.material.05_如何科学的找到自己的,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
6,06_如何走出低谷期,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/范不慌/02_转写文本/01_最终完整文案/06_如何走出低谷期？完成.md,低谷与心力恢复,失去行动力后认为命运针对自己,低谷价值重命名加亲历承诺,先把没心气定为关键阶段,无力感到重启解释再到五个卡点,强判断句,把低谷从终局改写为系统重置提示,绝望到重新有力,努力无果和自我否定,命运感与能力目标关系的反转,得到恢复行动力的五条路径,第1段列出五个卡点,当{无力}袭来先别把它解释成命运先检查{能力欲望与身体},低谷感受后给出五项恢复预告,心力可通过缩小目标承认差距贡献他人复盘和身体修复重建,宿命感→比较→价值贡献→失败叙述→生理充能,绝望→松绑→底气→希望,口语密度高并用历史与亲历作推演,每方法三到五段且最后用短句收束,以OK和那这个时候标出转场,五项并列但由心理到身体递进,以身体状态可改变未来收尾,今天完成一个能力范围内的微任务,把低谷拆成心理叙事和生理恢复两条线,P1-P53：低谷重命名→五个卡点→身体收束,fanbuhuang.material.06_如何走出低谷期-完成,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
7,07_如何高效学习掌握技能,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/范不慌/02_转写文本/01_最终完整文案/07_如何高效学习+掌握任.md,技能学习与效率,学得痛苦且把差距归因于天赋,天才反转加公式承诺,先挑战天才解释,学习痛苦到顺应规律再到五方法,对比问题,把效率差异改写为学习顺序与反馈设计差异,自卑到掌控,先学理论却迟迟不动的经历,顺序反转和练习场景,获得从难题起步到输出校验的学习循环,第1段给出学习循环,别急着用{天赋}解释差距先看你是否在逆着{学习循环}做事,天才对比后解释行动到反馈的路径,技能掌握来自高难目标实践反馈专注和讲解输出,挑战目标→外部带路→复盘→精力管理→输出检验,羡慕→理解→敢试→可持续,连续设问后接结构化长解释,每方法三到五段并穿插一则场景,用那我们接下来说标记教学推进,五项并列用于搭建完整学习闭环,用公式压缩全篇并鼓励形成个人风格,为当前技能设计一个可完成的高标准样本,先拆学习误区再给行为闭环和复盘节点,P1-P65：天才反转→学习循环→五方法→公式收束,fanbuhuang.material.07_如何高效学习-掌握任,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
8,08_认知成熟的四个阶段,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/范不慌/02_转写文本/01_最终完整文案/08_认知成熟的四个阶段.md,认知成熟与自我判断,不知自己处在会与不会的哪一段,常见悖论加阶段解释,先呈现自我评价错位,悖论共鸣到四段模型再到位置判断,对照式判断,让观众用能力曲线理解自信和挫败,困惑到清醒,自以为懂或被现实打脸,高低认知反差和练习经验,知道下一步该接纳现实还是寻求反馈,第1段给出四阶段,当{自信或绝望}很强时先别急着贴标签先判断你在{学习曲线}哪一段,多个反差例子后进入四段解释,成熟来自从想象走向反馈再把能力内化,幻觉自信→落差→务实试错→无意识熟练,自满→受挫→务实→平静,强口语判断与连环问答交织,每阶段多段讲解并留一处具体练习画面,用那这个时候把情绪状态转为下一步动作,四阶段并列构成完整成长曲线,以积累而非突然开窍收束,标注自己当前技能的一条真实反馈,用阶段地图降低成长中的羞耻和急躁,P1-P46：能力悖论→四阶段→练习内化,fanbuhuang.material.08_认知成熟的四个阶段,concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
9,09_长期处在压力中怎么办,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/范不慌/02_转写文本/01_最终完整文案/09_长期处在压力中怎么办.md,长期压力与心理韧性,被压力拖住且无法转化为行动,高压从容对比加五法承诺,先呈现从容处理危机的反差,能力命名到压力可转化再到五方法,现象提问,把压力分成威胁和收益两种解释方式,焦虑到掌控,巨大压力下失控和比较压力,捕食场景和主角视角,得到把压力转成具体收益与边界的工具,第1段列出五项方法,面对{压力}先别只盯着损失先问解决后能换来{具体收益},危机反差后给出韧性五法目录,韧性不是歌颂痛苦而是给压力重新分配意义与边界,收益视角→叙事视角→心理资源→局部控制→自然恢复,焦虑→被理解→勇敢→松弛,长解释搭配多重设问和影视化场景,每方法两到四段并由心理到环境递进,以比如说连续完成抽象概念的生活翻译,五项并列且前后形成能动到修复的闭环,以人生意义和稳定感收束,挑一件压力写出可控部分和可得收益,用叙事重构和资源恢复处理长期压力,P1-P43：压力二分→五种转换→意义收束,fanbuhuang.material.09_长期处在压力中怎么办,cases_people、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
10,10_驭人术的4大手段,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/范不慌/02_转写文本/01_最终完整文案/10_驭人术的4大手段.md,高质量社交与关系安全,想有影响力却容易显得有攻击性,魅力现象加古典框架,先描绘不攻击却有力量的人,魅力观察到四项原则再到社交场景,人物现象,把影响力从压制改写为降低防御和托举价值,紧张到安全感,社交中的较劲和被看轻,攻击性反转与具体互动情境,得到一套建立舒适关系的观察框架,第1段给出四项原则,想让{关系}更有分量先减少{压迫信号}再识别对方的价值与兴趣,魅力观察后依次解释四个关系动作,稳定关系来自安全感需求洞察价值成全和无分别的共鸣,卸防御→理清困扰→托举价值→共同兴趣,戒备→舒适→被尊重→亲近,口语解释中夹具象社交片段,每原则三到五段并在原则后给互动后果,用那第三步和再一个推进层次,四项并列形成关系由安全到共鸣的链条,以放下功利后的长期关系收束,下一次对话先发现对方一个未被满足的具体需求,把经典概念翻译为现代关系中的心理动作,P1-P36：魅力反差→四项关系动作→共鸣收束,fanbuhuang.material.10_驭人术的4大手段,examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
