编号,入库日期,来源账号,代表视频链接,研究母题,对标文案中的主张,当前状态,优先核验来源,可迁移到用户方向,使用边界
IFSR-001,2026-07-12,如果说,https://www.douyin.com/video/7642220065483492643,输出如何促进学习,公开输出会倒逼输入并加速认知迭代,待系统核验,学习科学中的生成效应检索练习费曼技巧与protégé effect研究,认知学习与内容创作,不能把焦虑说成必要生物本能
IFSR-002,2026-07-12,如果说,https://www.douyin.com/video/7639313715996691762,享乐适应与消费焦虑,消费升级会抬高快乐阈值形成享乐跑步机,待系统核验,享乐适应原始论文与综述行为经济学研究,赚钱认知与生活主权,不能用单一机制解释所有高消费
IFSR-003,2026-07-12,如果说,https://www.douyin.com/video/7641876208291958051,稀缺与认知带宽,低价值社交会持续征收带宽税,待系统核验,Scarcity相关实验原论文后续复现与批评,注意力管理与一人公司,书中稀缺机制不能直接等同所有社交成本
IFSR-004,2026-07-12,如果说,https://www.douyin.com/video/7640860487919389978,自我损耗与意志力,反复纠结会耗尽有限意志力电池,争议理论,ego depletion原始研究大样本复现元分析与替代理论,执行力与交付系统,必须明确可重复性争议
IFSR-005,2026-07-12,如果说,https://www.douyin.com/video/7638664477021326643,非惯用手训练与神经可塑性,左手训练可以唤醒右脑并产生认知跨界溢出,高风险待核验,神经可塑性与非惯用手训练同行评审研究,普通人学习与技能训练,左右脑人格化和认知溢出不能直接采用
IFSR-006,2026-07-12,如果说,https://www.douyin.com/video/7640705928941161743,邓宁克鲁格效应,能力越低越不知道自己不知道,待系统核验,原始论文方法学批评与近年综述,认知能力自评与学习盲区,不要把效应当人格羞辱标签
IFSR-007,2026-07-12,如果说,https://www.douyin.com/video/7642220065483492643,准社会关系与创作者信任,长期观看认知内容会形成高黏性信任资产,待系统核验,parasocial interaction与creator credibility研究,自媒体账号与个人品牌,不能保证粉丝忠诚或商业转化
IFSR-008,2026-07-12,如果说,https://www.douyin.com/video/7653052955993656628,无反馈条件下的坚持,稳定行动回路能跨过反馈延迟,待系统核验,控制理论自我调节目标梯度强化学习与创作者行为研究,账号冷启动与长期主义,必须区分反馈延迟和方向错误
IFSR-009,2026-07-12,如果说,https://www.douyin.com/video/7650451125698710811,家庭恩情愧疚与心理控制,以恩为债会破坏亲情并造成长期愧疚,待系统核验,家庭心理控制内疚诱导与亲子边界研究,个人经历型认知内容,不能把所有父母付出都解释为控制
IFSR-010,2026-07-12,如果说,https://www.douyin.com/video/7655286121772993844,展示欲与不安全感,越需要显摆越说明内在匮乏,待系统核验,自我呈现社会比较补偿性消费与身份信号研究,观点炫技与真实改变,不能仅凭外在行为诊断他人内心
IFSR-011,2026-07-12,如果说,https://www.douyin.com/video/7656428018444881193,传统修行概念的现代化,斩三尸可解释为对善欲望和自我的去执,文本核验必需,可靠古籍版本宗教学和道教研究资料,传统智慧与现代成长,创作者解释必须与历史定义分开
IFSR-012,2026-07-12,如果说,https://www.douyin.com/video/7654183060182682890,冰心诀来源与静心效果,114字口诀属于道门并能帮助精神内耗,高风险待核验,文本源流可靠古籍数据库与注意力训练研究,静心与注意力内容,不得直接宣称道门正统或治疗效果
IFSR-013,2026-07-13,如果说,https://www.douyin.com/video/7654536155693649202,业力与行为惯性,业力可以等同于过去行为形成的神经惯性,高风险待核验,宗教学概念研究与习惯形成系统综述,行动与长期主义,不能混同宗教概念和心理机制更不能使用21天定律
IFSR-014,2026-07-13,如果说,https://www.douyin.com/video/7654924170920283407,空虚内在动机与创作,愿力和创造作品能解决空虚感,待系统核验,自我决定理论意义感研究和临床心理边界资料,个人成长与创作,不能把空虚一概归因于缺愿力或替代专业支持
IFSR-015,2026-07-13,如果说,https://www.douyin.com/video/7656051023496236328,无为与压力应对,接受不可控结果会提高行动质量,待系统核验,接受与承诺疗法控制感研究和庄子原文注释,情绪与行动,不能把接受理解为放弃维权或行动
IFSR-016,2026-07-13,如果说,https://www.douyin.com/video/7656767056066514191,元认知与照镜子,照镜子三秒会激活前额叶并提高理性判断,高风险待核验,元认知研究情绪调节综述和原始实验来源,情绪管理,不得使用未查明的40%效果数字
IFSR-017,2026-07-13,如果说,https://www.douyin.com/video/7657547366643272986,心相篇与道德因果,陈抟心相篇可从外貌与品行预测命运,高风险待核验,文本版本研究和人格判断偏差研究,自省与品行内容,禁止用外貌和命运断语识人
IFSR-018,2026-07-13,如果说,https://www.douyin.com/video/7658628033149930793,觉醒破相与关系,情绪观察和破相可以解释所有关系痛苦,待系统核验,正念依恋理论关系边界与庄子文本研究,自我提升与关系,不能将伤害归责为当事人的投射或期待
IFSR-019,2026-07-13,如果说,https://www.douyin.com/video/7660896909606849807,王阳明龙场悟道,石棺故事和知行合一可被压缩为一次龙场顿悟,文本核验必需,王阳明年谱全集和心学研究,人物故事与认知,需区分传说史实和后续理论发展
IFSR-020,2026-07-13,如果说,https://www.douyin.com/video/7661605040515321138,鬼谷子揣情与沟通,揣情可作为识人和沟通通用方法,高风险待核验,鬼谷子权威校勘本动机性推理研究和沟通伦理资料,沟通与边界,不得把探测恐惧和隐私作为操纵技巧
